,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
787,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-iterator.c
790,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-loop-interchange.cc
791,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-loop-jam.c
792,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-loop-versioning.cc
793,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-low.c
795,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-match-head.c
797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-predict.h
798,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/gcc/gimple-pretty-print.c
800,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range-cache.cc
802,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range-edge.cc
804,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/gimple-range-gori.cc
806,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range.cc
807,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range.h
809,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-evrp-analyze.c
812,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-isolate-paths.c
814,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-split-paths.c
815,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-sprintf.c
816,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-store-merging.c
817,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-strength-reduction.c
818,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-warn-alloca.c
819,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,../gcc-11.2.0/gcc/gimple-ssa-warn-restrict.c
821,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa.h
822,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-streamer-in.c
825,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-walk.c
827,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple.c
829,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple.h
830,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimplify-me.c
832,0.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimplify.c
835,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/godump.c
838,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphds.c
840,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite-dependences.c
841,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/graphite-isl-ast-to-gimple.c
842,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite-optimize-isl.c
843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,../gcc-11.2.0/gcc/graphite-poly.c
844,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,../gcc-11.2.0/gcc/graphite-scop-detection.c
845,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite-sese-to-poly.c
846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite.c
855,0.0,88.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/haifa-sched.c
857,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hash-map-tests.c
860,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hash-set-tests.c
861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/hash-set.h
862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hash-table.c
863,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hash-table.h
864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hash-traits.h
873,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hwint.c
874,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/hwint.h
875,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ifcvt.c
882,23.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/input.c
883,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/input.h
887,0.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/internal-fn.c
889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/internal-fn.h
892,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-comdats.c
893,0.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,../gcc-11.2.0/gcc/ipa-cp.c
894,1.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-devirt.c
895,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-fnsummary.c
897,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-icf-gimple.c
