,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
96,1.0,162.0,7.0,0.0,0.0,110.0,0.0,0.0,6.0,../gcc-11.2.0/gcc/dwarf2out.c
97,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/early-remat.c
98,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/edit-context.c
99,0.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/emit-rtl.c
100,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/emit-rtl.h
101,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/et-forest.c
102,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/except.c
103,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/explow.c
104,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/expmed.c
105,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/expmed.h
106,0.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/expr.c
107,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/fibonacci_heap.h
108,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/final.c
109,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/fixed-value.c
110,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/fold-const-call.c
111,9.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/fold-const.c
112,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/function-abi.cc
113,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/function.c
114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/function.h
115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcc-rich-location.c
116,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcc.c
117,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcov.c
