filename,added_date,authors,modified
gcc/testsuite/gcc.target/aarch64/sve/init_4.c,2019-06-03,"['Richard Sandiford', 'Prathamesh Kulkarni']",4
gcc/testsuite/gcc.target/aarch64/sve/ld1r_2.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/slp_2.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/slp_3.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/slp_4.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/spill_4.c,2019-08-13,['Richard Sandiford'],2
gcc/testsuite/gcc.target/aarch64/no-inline-lrint_3.c,2019-08-13,['Wilco Dijkstra'],1
gcc/testsuite/gnat.dg/casesi.adb,2019-08-13,['Olivier Hainque'],1
gcc/testsuite/gnat.dg/casesi.ads,2019-08-13,['Olivier Hainque'],1
gcc/testsuite/gnat.dg/test_casesi.adb,2019-08-13,['Olivier Hainque'],1
gcc/testsuite/g++.dg/cpp0x/nullptr42.C,2019-08-13,['Marek Polacek'],1
gcc/testsuite/gfortran.dg/deferred_character_34.f90,2019-08-13,['Thomas Koenig'],1
gcc/testsuite/gcc.dg/format/pr80619.c,2019-08-13,['Martin Sebor'],1
gcc/testsuite/gfortran.dg/pr87993.f90,2019-08-13,['Steven G. Kargl'],1
gcc/testsuite/gfortran.dg/pr89647.f90,2019-08-13,['Steven G. Kargl'],1
gcc/testsuite/gfortran.dg/do_subscript_5.f90,2019-08-13,['Thomas Koenig'],2
gcc/testsuite/obj-c++.dg/stubify-1.mm,2019-06-15,['Iain Sandoe'],4
gcc/testsuite/obj-c++.dg/stubify-2.mm,2019-06-15,['Iain Sandoe'],4
gcc/testsuite/objc.dg/stubify-1.m,2019-06-20,['Iain Sandoe'],3
gcc/testsuite/objc.dg/stubify-2.m,2019-06-20,['Iain Sandoe'],3
gcc/testsuite/gfortran.dg/pr88072.f90,2019-08-13,['Steven G. Kargl'],1
gcc/testsuite/gfortran.dg/unlimited_polymorphic_28.f90,2019-08-13,['Steven G. Kargl'],1
gcc/testsuite/gcc.target/aarch64/sve/spill_2.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/while_10.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/while_6.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/while_7.c,2019-08-13,['Richard Sandiford'],2
gcc/testsuite/gcc.target/aarch64/sve/while_8.c,2019-08-13,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/while_9.c,2019-08-13,['Richard Sandiford'],2
gcc/testsuite/gfortran.dg/pr87991.f90,2019-08-14,['Steven G. Kargl'],1
gcc/testsuite/gcc.target/aarch64/sve/single_1.c,2018-08-02,"['Richard Sandiford', 'Christophe Lyon']",3
gcc/testsuite/gcc.target/aarch64/sve/single_2.c,2018-08-02,"['Richard Sandiford', 'Christophe Lyon']",3
gcc/testsuite/gcc.target/aarch64/sve/single_3.c,2018-08-02,"['Richard Sandiford', 'Christophe Lyon']",3
gcc/testsuite/gcc.target/aarch64/sve/single_4.c,2018-08-02,"['Richard Sandiford', 'Christophe Lyon']",3
gcc/testsuite/gcc.target/aarch64/sve/vcond_17.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_17_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/c-c++-common/asan/memcmp-1.c,2019-08-14,"['Martin Liska', 'Iain Sandoe']",3
gcc/testsuite/g++.dg/parse/typedef9.C,2019-08-14,['Paolo Carlini'],1
gcc/testsuite/gcc.target/aarch64/sve/peel_ind_1.c,2019-08-14,"['Richard Sandiford', 'Wilco Dijkstra']",2
gcc/testsuite/gcc.target/aarch64/sve/peel_ind_2.c,2019-08-14,"['Richard Sandiford', 'Wilco Dijkstra']",3
gcc/testsuite/g++.dg/conversion/simd4.C,2019-08-14,['Paolo Carlini'],2
gcc/testsuite/gcc.target/aarch64/sve/adr_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_1_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_2.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_2_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_3.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_3_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_4.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_4_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_5.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/adr_5_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/clrsb_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/clrsb_1_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/clz_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/clz_1_run.c,2019-08-14,['Richard Sandiford'],1
